id,name,state,city,description
1,Varanasi Silk Cluster,Uttar Pradesh,Varanasi,Banarasi brocade and silk saree weaving
2,Kanchipuram Silk Cluster,Tamil Nadu,Kanchipuram,Traditional silk saree weaving
3,Surat Textile Cluster,Gujarat,Surat,"Synthetic textiles, processing, embroidery, sarees"
4,Tiruppur Knitwear Cluster,Tamil Nadu,Tiruppur,Cotton knitwear and garment exports
5,Panipat Home Textile Cluster,Haryana,Panipat,"Home textiles, carpets, blankets, rugs"
6,Bhilwara Textile Cluster,Rajasthan,Bhilwara,Suiting fabric and synthetic textiles
7,Patan Patola Cluster,Gujarat,Patan,Double ikat silk Patola weaving
8,Chanderi Cluster,Madhya Pradesh,Chanderi,Chanderi silk-cotton sarees and fabrics
9,Pochampally Ikat Cluster,Telangana,Pochampally,Ikat sarees and fabrics
10,Sualkuchi Silk Cluster,Assam,Sualkuchi,"Muga, Eri and silk textiles"
11,Sambalpur Ikat Cluster,Odisha,Sambalpur,Bandha/Ikat sarees and fabrics
12,Kota Doria Cluster,Rajasthan,Kota,Lightweight cotton/silk Kota Doria fabrics
13,Bagru Print Cluster,Rajasthan,Bagru,Natural dye block printing
14,Sanganer Print Cluster,Rajasthan,Jaipur,Sanganeri hand block printing
15,Bhagalpur Silk Cluster,Bihar,Bhagalpur,Tussar silk and silk fabrics
16,Maheshwar Handloom Cluster,Madhya Pradesh,Maheshwar,Maheshwari sarees and fabrics
17,Paithan Paithani Cluster,Maharashtra,Paithan,Paithani silk sarees
18,Lucknow Chikankari Cluster,Uttar Pradesh,Lucknow,Chikankari embroidery
19,Kutch Textile Craft Cluster,Gujarat,Kutch,"Ajrakh, Bandhani, embroidery and weaving"
20,Karur Home Textile Cluster,Tamil Nadu,Karur,Home textiles and made-ups
